2022/12/14 19:47:48 [error] 29#29: *17 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.112.3, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.4:9000", host: "item-api-proxy:10022"
2022/12/14 20:09:08 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:09:18 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:09:28 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:09:38 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:09:48 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:09:58 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:10:08 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:10:18 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:10:28 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:10:38 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:10:48 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:10:58 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:11:08 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
2022/12/14 20:11:18 [error] 28#28: *4 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:9003 (through xdebug.client_host/xdebug.client_port)" while reading response header from upstream, client: 192.168.112.4, server: , request: "GET /metrics HTTP/1.1", upstream: "fastcgi://192.168.112.2:9000", host: "item-api-proxy:10022"
